group1,group2,meandiff,p-adj,lower,upper,reject
1 * ALB,2 * ALB,26.3567,0.5919,-18.5667,71.2801,False
1 * ALB,DEC + ALB,-8.4676,0.9814,-38.5216,21.5865,False
1 * ALB,IVM + ALB,-3.5883,0.9998,-32.768,25.5914,False
1 * ALB,IVM + DEC + ALB,10.8005,0.9901,-32.4398,54.0407,False
1 * ALB,No MDA,-41.6112,0.5867,-112.2222,28.9998,False
1 * ALB,Not started,25.731,0.5364,-16.1534,67.6154,False
2 * ALB,DEC + ALB,-34.8242,0.0584,-70.312,0.6635,False
2 * ALB,IVM + ALB,-29.945,0.1438,-64.6954,4.8054,False
2 * ALB,IVM + DEC + ALB,-15.5562,0.9591,-62.7352,31.6228,False
2 * ALB,No MDA,-67.9679,0.0877,-141.0572,5.1215,False
2 * ALB,Not started,-0.6257,1.0,-46.5653,45.3138,False
DEC + ALB,IVM + ALB,4.8793,0.7452,-4.7502,14.5088,False
DEC + ALB,IVM + DEC + ALB,19.268,0.6092,-14.0635,52.5996,False
DEC + ALB,No MDA,-33.1436,0.7397,-98.1605,31.8732,False
DEC + ALB,Not started,34.1985,0.0238,2.6457,65.7513,True
IVM + ALB,IVM + DEC + ALB,14.3888,0.848,-18.1566,46.9341,False
IVM + ALB,No MDA,-38.0229,0.5884,-102.6402,26.5944,False
IVM + ALB,Not started,29.3193,0.0726,-1.4018,60.0404,False
IVM + DEC + ALB,No MDA,-52.4117,0.3237,-124.4787,19.6554,False
IVM + DEC + ALB,Not started,14.9305,0.9545,-29.3646,59.2255,False
No MDA,Not started,67.3421,0.0781,-3.9197,138.604,False
